PERMNO,date,PRC,VOL,RET,SHROUT
10044,2020/1/31,8.32,4414,-0.098592,6000
10044,2020/2/28,7.66,2726,-0.064904,6065
10044,2020/3/31,4.8,4298,-0.373368,6065
10044,2020/4/30,4.55,7121,-0.052083,6065
10044,2020/5/29,4.29,7089,-0.057143,6061
10044,2020/6/30,4.25,9106,-0.009324,6065
10044,2020/7/31,3.32,7452,-0.218824,6076
10044,2020/8/31,3.26,14188,-0.018072,6067
10044,2020/9/30,2.68,7127,-0.177914,6067
10044,2020/10/30,2.68,8102,0,6071
10044,2020/11/30,4.27,8537,0.593284,6071
10044,2020/12/31,4.05,9052,-0.051522,6071
10044,2021/1/29,4.34,7279,0.071605,6074
10044,2021/2/26,5.29,41557,0.218894,6124
10044,2021/3/31,5.27,18250,-0.003781,6124
10044,2021/4/30,6.05,7844,0.148008,6124
10044,2021/5/28,6.26,5880,0.034711,6119
10044,2021/6/30,7.63,10822,0.21885,6124
10044,2021/7/30,8.39,7043,0.099607,6124
10044,2021/8/31,7.93,3620,-0.054827,6124
10044,2021/9/30,7.4,3710,-0.066835,6124
10044,2021/10/29,8.71,3876,0.177027,6128
10044,2021/11/30,8.5,4142,-0.02411,6177
10044,2021/12/31,7.85,2178,-0.076471,6177
10044,2022/1/31,7.912,3664,0.007898,6180
10044,2022/2/28,7.85,2055,-0.007836,6217
10044,2022/3/31,7.55,1944,-0.038217,6217
10044,2022/4/29,6.61,1144,-0.124503,6217
10044,2022/5/31,6.75,4947,0.02118,6214
10044,2022/6/30,6.89,2565,0.020741,6217
10044,2022/7/29,6.76,1108,-0.018868,6217
10044,2022/8/31,6.66,1328,-0.014793,6223
10044,2022/9/30,6.01,889,-0.097598,6223
10044,2022/10/31,6.62,1093,0.101497,6239
10044,2022/11/30,6.075,1910,-0.082326,6239
10044,2022/12/30,5.7,1036,-0.061728,6239
10145,2020/1/31,173.22,545154,-0.021356,714533
10145,2020/2/28,162.17,605891,-0.058596,712600
10145,2020/3/31,133.78999,1341278,-0.175002,707287
10145,2020/4/30,141.89999,743490,0.060617,707287
10145,2020/5/29,145.85001,774093,0.034179,701848
10145,2020/6/30,144.59,829586,-0.008639,701848
10145,2020/7/31,149.37,696834,0.033059,701783
10145,2020/8/31,165.55,747822,0.114347,701783
10145,2020/9/30,164.61,620778,-0.005678,701783
10145,2020/10/30,164.95,541080,0.002065,701686
10145,2020/11/30,203.92,773624,0.241891,701686
10145,2020/12/31,212.7,573390,0.043056,701686
10145,2021/1/29,195.37,584511,-0.081476,701686
10145,2021/2/26,202.35001,450044,0.040487,695501
10145,2021/3/31,217.07001,711666,0.072745,695501
10145,2021/4/30,223.03999,545999,0.027503,694556
10145,2021/5/28,230.91,530769,0.039455,694556
10145,2021/6/30,219.35001,573951,-0.050063,690399
10145,2021/7/30,233.78999,831807,0.065831,690399
10145,2021/8/31,231.91,407061,-0.004063,690399
10145,2021/9/30,212.28,528979,-0.084645,688423
10145,2021/10/29,218.62,417028,0.029866,688423
10145,2021/11/30,202.24001,500213,-0.070442,688423
10145,2021/12/31,208.50999,736865,0.031003,685819
10145,2022/1/31,204.48,686397,-0.019328,685819
10145,2022/2/28,189.75,773899,-0.067244,685894
10145,2022/3/31,194.58,844342,0.025455,680733
10145,2022/4/29,193.50999,592186,-0.005499,680733
10145,2022/5/31,193.62,783268,0.005633,680733
10145,2022/6/30,173.81,623424,-0.102314,673692
10145,2022/7/29,192.46001,479151,0.107301,673692
10145,2022/8/31,189.35001,493401,-0.011067,673692
10145,2022/9/30,166.97,672534,-0.118194,672322
10145,2022/10/31,204.02,661417,0.221896,672322
10145,2022/11/30,219.55,659865,0.081169,672322
10145,2022/12/30,214.3,563337,-0.023913,667600
10514,2020/1/31,3.46,111882,0.721393,1816
10514,2020/2/28,3.77,63992,0.089595,1816
10514,2020/3/31,3.32,5251,-0.119363,1816
10514,2020/4/30,4.5325,5216,0.365211,1816
10514,2020/5/29,4.69,2709,0.034749,1825
10514,2020/6/30,6.86,4839,0.462687,1825
10514,2020/7/31,7.99,3656,0.164723,1825
10514,2020/8/31,6.91,2208,-0.135169,1825
10514,2020/9/30,7.72,2013,0.117221,1825
10514,2020/10/30,11.25,503,0.457254,1825
10514,2020/11/30,12.7702,419,0.135129,1825
10514,2020/12/31,14.63,962,0.145636,1905
10514,2021/1/29,38.56,8932,1.63568,1926
10514,2021/2/26,31.9,3435,-0.172718,1926
10514,2021/3/31,23.83,10633,-0.252978,1926
10514,2021/4/30,22,4804,-0.076794,2479
10514,2021/5/28,23.2,3208,0.054545,2479
10514,2021/6/30,24.3,3302,0.047414,2488
10514,2021/7/30,19.7,747,-0.1893,2493
10514,2021/8/31,20.89,946,0.060406,2493
10514,2021/9/30,16.67,960,-0.20201,2493
10514,2021/10/29,14.505,610,-0.129874,2493
10514,2021/11/30,13.6,457,-0.062392,2493
10514,2021/12/31,10.44,1023,-0.232353,2493
10514,2022/1/31,7.5,784,-0.281609,2493
10514,2022/2/28,-7.855,371,0.047333,2493
10514,2022/3/31,7.2608,1423,-0.075646,2493
10514,2022/4/29,6.16,10216,-0.151609,2493
10514,2022/5/31,3.78,3454,-0.386364,2502
10514,2022/6/30,2.47,2621,-0.346561,2502
10514,2022/7/29,2.47,922460,0,3140
10514,2022/8/31,2.61,783623,0.05668,3140
10514,2022/9/30,1.52,147717,-0.417625,3616
10514,2022/10/31,1.07,180926,-0.296053,4855
10514,2022/11/30,0.835,136546,-0.219626,4855
10514,2022/12/30,0.555,83156,-0.335329,4965
10777,2020/1/31,526.82001,9326,-0.010128,9624
10777,2020/2/28,453.31,8003,-0.139535,9503
10777,2020/3/31,332.87,12729,-0.264808,9275
10777,2020/4/30,382,9136,0.147595,9163
10777,2020/5/29,385,8119,0.007853,9163
10777,2020/6/30,405.01999,10806,0.053039,8929
10777,2020/7/31,425.87,8679,0.051479,8811
10777,2020/8/31,393.14999,13682,-0.076831,8811
10777,2020/9/30,318.78,6200,-0.188147,8811
10777,2020/10/30,462.70001,19830,0.451471,8811
10777,2020/11/30,528.59003,10630,0.142403,8811
10777,2020/12/31,574.27002,12288,0.087308,8811
10777,2021/1/29,595.98999,8344,0.037822,8811
10777,2021/2/26,737.89001,9470,0.238091,8811
10777,2021/3/31,835.77002,15476,0.133285,8811
10777,2021/4/30,867.46002,11502,0.037917,8811
10777,2021/5/28,860.59998,10362,-0.007366,8811
10777,2021/6/30,832.73999,11831,-0.032373,8811
10777,2021/7/30,782.59003,11960,-0.059658,8811
10777,2021/8/31,897.70001,9768,0.147088,8811
10777,2021/9/30,843.16998,12506,-0.060744,8811
10777,2021/10/29,813.90002,11757,-0.034714,8811
10777,2021/11/30,803.97998,11558,-0.011611,8811
10777,2021/12/31,829.84003,17911,0.032165,8811
10777,2022/1/31,779.08002,54418,-0.061168,14960
10777,2022/2/28,788.45001,18695,0.01263,14973
10777,2022/3/31,665.59998,36041,-0.155812,14996
10777,2022/4/29,639.38,21569,-0.039393,14996
10777,2022/5/31,700.40002,20374,0.096171,14996
10777,2022/6/30,653.78003,16498,-0.066562,14997
10777,2022/7/29,756.67999,14636,0.157392,14998
10777,2022/8/31,811.96002,26600,0.073677,14998
10777,2022/9/30,797.42999,28821,-0.017895,13971
10777,2022/10/31,822.12,31528,0.030962,13499
10777,2022/11/30,816.46002,14932,-0.005972,13499
10777,2022/12/30,758.35999,19556,-0.071161,13501
10874,2020/1/31,62.85,142309,0.047849,81574
10874,2020/2/28,53.2,118689,-0.149722,79470
10874,2020/3/31,35.37,261885,-0.33515,79470
10874,2020/4/30,47.72,255112,0.349166,79356
10874,2020/5/29,55.01,217577,0.157795,79128
10874,2020/6/30,64.01,231250,0.163607,79128
10874,2020/7/31,66.98,184156,0.046399,79128
10874,2020/8/31,61.89,170185,-0.07241,79162
10874,2020/9/30,58.91,187118,-0.04815,79162
10874,2020/10/30,63.71,169438,0.08148,79162
10874,2020/11/30,74.64,172958,0.175797,78343
10874,2020/12/31,76.24,153457,0.021436,78343
10874,2021/1/29,86.46,156209,0.13405,78343
10874,2021/2/26,88.37,122348,0.025214,77775
10874,2021/3/31,95.37,166856,0.079212,77972
10874,2021/4/30,107.13,128987,0.123309,77972
10874,2021/5/28,102.23,137763,-0.042612,77898
